score,SMILES,Name
0.645,CN(C)C[C@H](C(=O)O)n1c([C@@H](O)CCN)nc2c(c(CC(=O)O)nn2C)c1=O,1857793238_35024242_2019611
0.725,Cc1cnc2nc(CCNC(=N)N)n([C@H](CO)C(=N)O)c(=O)c2c1,26441149_94437875_901626
0.767,Cn1ncc2c(=O)n(CCN3CCNC3=O)c(Cn3cnnc3N)nc21,19850925_164791_227173267
0.698,COc1cccc2c(=O)n(CCOCCO)c([C@H](N)[C@@H](C)O)nc12,389612_1760798_895399
0.654,COc1cnc2nc([C@@H](N)CNC(=N)N)n(C(=O)N[C@@H](CO)C(=O)O)c(=O)c2n1,95757573_2626461_2384694
0.745,COC(=O)[C@H](N)Cc1nc2nc(N)ccc2c(=O)n1C(=O)NCCO,39066311_1587868_2560988
0.66,Cc1cc2nc(CN(C)C(=O)CN)n([C@H](C(=O)O)[C@H](O)C(=O)O)c(=O)c2cc1O,96028999_901878_1742265
0.61,COC(=O)[C@@H](CC(=O)O)n1c(C[C@H](N)C(N)=O)nc2c(OC)nccc2c1=O,72319657_2560988_2516163
0.659,CC(=O)OC[C@@H](C(=O)O)n1c([C@@H]2CN(C)CCN2)nc2cnc(Cl)nc2c1=O,144544129_895446_23094286
0.691,Nc1nnn(Cc2nc3n[nH]nc3c(=O)n2C(=O)[C@@H]2CNC(=O)C2)n1,4621099_4301264_4294607
0.784,COC(=O)c1ccc2nc([C@@H](CO)NC(N)=O)n(C(=O)[C@H]3CNC(=O)C3)c(=O)c2c1,14985552_4301265_2522564
0.677,N=C1NCCN1Cc1nc2nc(CO)ncc2c(=O)n1Cc1nc(CO)n[nH]1,40543678_521398993_1483569
0.734,NC(=O)NC[C@H](N)c1nc2cc(N)ncc2c(=O)n1CCNC1COC1,39066342_82488584_1531037
0.688,Cn1cc2c(=O)n(C[C@@H]3CNCCO3)c([C@@H](N)CO)nc2n1,35937644_1296004_895034
0.69,COC(=O)[C@@H](N)Cc1nc2ncn(C)c2c(=O)n1C[C@@H]1CO[C@@H](CO)CO1,77271318_1875388930_1709620
0.618,O=c1c2nnccc2nc([C@@H]2CNC[C@@H]2CO)n1C[C@H]1CNCCO1,19854095_4343734_4203971
0.628,COC(=O)C(C(=O)OC)n1c(CNCCO)nc2cnc(C)cc2c1=O,39066258_36532919_1733659
0.683,CNC(=O)c1n[nH]c(-n2c([C@@H](N)CCC(N)=O)nc3nc4ncnn4cc3c2=O)n1,211735994_19844301_1532526
0.695,C[C@H](NC(=O)Cn1c([C@H]2CNC(=O)CN2)nc2nonc2c1=O)C(=O)O,967421_1730665_76576471
0.648,Cn1nnc2c(=O)n(CC3(O)COC3)c(CC(N)=O)nc21,95761717_74938389_901948
0.721,COC[C@H](CO)n1c([C@H](N)CNC(=N)N)nc2nc(N)ncc2c1=O,31613702_21984469_1576365
0.644,Cc1[nH]c(=O)[nH]c(=O)c1-n1c([C@@H](N)CC(N)=O)nc2c(nnn2C2COC2)c1=O,256054523_399478_1532556
0.665,COC(=O)CNC(=O)Cn1c([C@H]2C[C@H](O)CN2)nc2cnn(CC(F)F)c2c1=O,223249297_2168344_895457
0.631,N=C(O)[C@H](CO)n1c([C@@H]2CNC[C@H]2O)nc2cc(C(=O)O)c(N)cc2c1=O,330106_94437874_14507986
0.637,Cn1c(=O)ncc2c(=O)n(Cc3nnn[nH]3)c(C3(O)CC(N)C3)nc21,5424162_5183370_114118812
0.682,CCOC(=O)[C@@H](CO)n1c([C@@H]2NCCNC2=O)nc2nc(C(=O)O)ccc2c1=O,95769067_20230747_15442539
0.687,NC[C@H](O)Cc1nc2cnccc2c(=O)n1[C@@H]1C[C@@H](O)[C@@H](O)C1,165882_146501451_901811
0.868,NCC(=O)NCCc1nc2c(=O)[nH]c(=O)[nH]c2c(=O)n1-c1ncn(CCO)n1,1861052_19088805_1637970
0.682,CC(C)n1ncc2nc([C@@](C)(N)CO)n(C(=O)c3ncc[nH]c3=O)c(=O)c21,223249126_8657_2042820
0.558,CC(=O)N[C@H](CO)c1nc2[nH]c(=O)ccc2c(=O)n1[C@H](C(=O)O)[C@@H](C)O,84252933_895103_158174
0.761,CCCn1c(=O)ncc2c(=O)n(C(=O)CN3CCOCC3)c([C@H]3CNC[C@H]3O)nc21,222633766_20436848_14507981
0.679,COCC(O)(COC)Cn1c(CNC(=N)N)nc2c(=O)[nH]c(N)nc2c1=O,4876898_702630473_895314
0.749,O=C([C@@H]1CNCCN1)n1c(CNC2=NCCN2)nc2cn[nH]c2c1=O,26895189_20268617_1592098
0.674,COCc1ncc2c(=O)n([C@@H](C(=O)O)c3nnn[nH]3)c([C@H](O)[C@@H](C)O)nc2n1,95883519_3995585_1695857
0.612,COC(=O)[C@H](CC(=O)O)n1c([C@@H](CN)CO)nc2nncnc2c1=O,39083028_1709620_12502811
0.721,Cc1cnn2c1ncc1c(=O)n(-c3nncn3CC(=O)O)c(C[C@@H](N)CO)nc12,39083799_227173267_4181821
0.602,CCCn1nnc2c(=O)n([C@H](CN(C)C)C(=O)NC)c([C@@H]3CNCCN3C)nc21,253574718_575458008_89223309
0.719,C[C@@H](OC(=O)CO)c1nc2c(sc3nccnc32)c(=O)n1C(=O)N(CCO)CCO,12367501_1606275_59569926
0.735,Cc1cc2nc([C@H]3CNCCN3)n(C(=O)CO)c(=O)c2cn1,34337536_4692578_19371708
0.69,N[C@H](CO)c1nc2cc(=O)[nH]cc2c(=O)n1C(=O)[C@H]1CCN1,14982074_13375224_895342
0.648,COC[C@@H](O)Cn1c([C@@H](N)CCO)nc2snc(C)c2c1=O,3349006_2263862_895146
0.623,O=C1NC[C@@H](c2nc3nccnc3c(=O)n2-c2nc[nH]c(=O)n2)N1,967253_12358729_2140996
0.617,Cc1cc2ncc3c(=O)n(-c4nc(=O)[nH]cc4CO)c([C@H]4CNCCN4C)nc3n2n1,1406919_399529_89223304
0.687,NCC(CN)c1nc2c(cnc3ncnn32)c(=O)n1C(=O)[C@@H]1CNCCC1=O,14608640_100191301_114812654
0.725,Cc1nc2ncc3c(=O)n(C(=N)NC#N)c([C@H](N)CN)nc3n2n1,49474298_5112486_19363627
0.629,COC(=O)[C@@H]([C@H](C)O)n1c([C@@H](O)[C@@H](C)O)nc2cccnc2c1=O,330903_34924610_1695855
0.743,CCn1c(=O)ncc2c(=O)n(C3CC(O)(C(=O)O)C3)c([C@@H](N)CN(C)C)nc21,108267078_114118812_19366520
0.68,O=C1CNC[C@H](c2nc3cccc(C(=O)O)c3c(=O)n2[C@@H](CCO)C(=O)O)N1,389579_895146_38540696
0.669,COCCNC(=O)Cn1c([C@H]2CNC[C@@H]2O)nc2ncncc2c1=O,967326_4218734_14507983
0.673,N[C@@H]1CN[C@H](c2nc3c(cnn3CCO)c(=O)n2C(=O)[C@H]2NCCNC2=O)C1,1559230_215366323_95093504
0.661,COC(=O)[C@H](CO)n1c(CC[C@@H](N)C(N)=O)nc2c(ncn2C)c1=O,3985038_19230192_2560808
0.62,O=C(c1cnc[nH]c1=O)n1c([C@H](O)[C@H](O)CO)nc2nc[nH]c2c1=O,2580801_8672865_901063
