score,SMILES,Name
0.979,NC(=O)Cc1nc2cc3c(cc2c(=O)n1C(=O)CN1CCOCC1)OCO3,3888941_20436848_901948
0.864,NCC(=O)NCCc1nc2cc3c(cc2c(=O)n1C(=O)CN1CCOCC1)OCO3,3888941_20436848_1637970
0.846,CC(=O)Nc1ccc2nc(CCNC(=O)CN)n(C(=O)CN3CCOCC3)c(=O)c2c1,4640612_20436848_1637970
0.869,O=C(CN1CCOCC1)n1c(CNC2=NCCN2)nc2cc3c(cc2c1=O)OCO3,3888941_20436848_1592098
0.833,O=c1c2cc3c(cc2nc(CNC2=NCCN2)n1-c1ncn(CCO)n1)OCO3,3888941_19088805_1592098
0.965,NC[C@H](O)c1nc2cc3c(cc2c(=O)n1C(=O)CN1CCOCC1)OCO3,3888941_20436848_2034711
0.841,N=C(CN1CC[C@H](O)C1)n1c(CNC2=NCCN2)nc2cc3c(cc2c1=O)OCO3,3888941_203414649_1592098
0.858,O=c1c2cc3c(cc2nc(CNC2=NCCN2)n1CCNC1COC1)OCO3,3888941_82488584_1592098
0.832,CC(=O)Nc1ccc2nc(CNC3=NCCN3)n(C(=O)CN3CCOCC3)c(=O)c2c1,4640612_20436848_1592098
0.884,NCCC(=O)NCc1nc2cc3c(cc2c(=O)n1C(=O)CN1CCOCC1)OCO3,3888941_20436848_1575546
0.967,N[C@@H](CO)c1nc2cc3c(cc2c(=O)n1C(=O)CN1CCOCC1)OCO3,3888941_20436848_895034
0.802,COC(=O)c1ccc2c(=O)n(C(=O)CN3CCOCC3)c(CNC3=NCCN3)nc2c1,14985559_20436848_1592098
0.988,O=C(CN1CCOCC1)n1c(C(O)O)nc2cc3c(cc2c1=O)OCO3,3888941_20436848_6660936
0.865,C[C@@H](NC(=O)CN)c1nc2cc3c(cc2c(=O)n1C(=O)CN1CCOCC1)OCO3,3888941_20436848_1605215
0.879,NC(=O)[C@H](N)CCc1nc2cc3c(cc2c(=O)n1C(=O)CN1CCOCC1)OCO3,3888941_20436848_2560808
0.8,COC(=O)c1ccc2nc(CCNC(=O)CN)n(C(=O)CN3CCOCC3)c(=O)c2c1,14985552_20436848_1637970
0.806,COC(=O)c1ccc2nc(CNC3=NCCN3)n(C(=O)CN3CCOCC3)c(=O)c2c1,14985552_20436848_1592098
0.889,O=C(CN1CCOCC1)n1c(CN2CCNCC2)nc2cc3c(cc2c1=O)OCO3,3888941_20436848_19735199
0.875,O=C1NCCN1CCn1c(CNC2=NCCN2)nc2cc3c(cc2c1=O)OCO3,3888941_164791_1592098
0.792,O=C(O)c1cnc2nc(CNC3=NCCN3)n(C(=O)CN3CCOCC3)c(=O)c2c1,4202689_20436848_1592098
