score,SMILES,Name
-11.388332,NC(=O)[C@H](Cc1ccc(O)c(Cl)c1)NC(=O)[C@H](CC1CCCC1)NC(=O)Cc1ccc2ccccc2c1,CA115_AA44_AA21
-13.76078,NC(=O)c1cc2ccccc2cc1NC(=O)CNC(=O)Cc1ccc2ccccc2c1,CA115_AA22_AA12
-9.757486,NC(=O)C1(NC(=O)[C@H](Cc2cn(C(c3ccccc3)(c3ccccc3)c3ccccc3)cn2)NC(=O)CCC(=O)c2ccc(Br)cc2)CCC(F)(F)CC1,CA77_AA57_AA13
-12.719845,NC(=O)[C@H](Cc1cn(C(c2ccccc2)(c2ccccc2)c2ccccc2)cn1)NC(=O)[C@H](Cc1ccc(O)c(Cl)c1)NC(=O)c1cccc(O)c1,CA117_AA21_AA57
-11.841181,NC(=O)[C@@H](NC(=O)COC[C@H]1CCCN1C(=O)c1cccc(F)c1)C1CC1,CA55_AA19_AA15
-12.014116,CN(C[C@H]1CC[C@H](C(N)=O)CC1)C(=O)[C@H](CC1CCCC1)NC(=O)c1cccc(O)c1,CA117_AA44_AA1
-12.0606,CC(OC(C)(C)C)[C@H](NC(=O)C[C@H](Cc1ccc(F)c(F)c1)NC(=O)c1cccc(O)c1)C(N)=O,CA117_AA10_AA49
-13.062763,C#Cc1cccc(C(=O)N[C@@H](CCCCCCCC)C(=O)N[C@H](CC2CCCCC2)C(N)=O)c1,CA72_AA25_AA28
-12.040163,NC(=O)C[C@H](Cc1ccc(F)c(F)c1)NC(=O)[C@@H]1C[C@H](F)CN1C(=O)Cc1ccc2ccccc2c1,CA115_AA35_AA10
-11.414777,NC(=O)[C@@H](Cc1cc(Br)c(O)c(Br)c1)NC(=O)[C@@H]1CCCCN1C(=O)Cc1ccc2ccccc2c1,CA115_AA45_AA2
-12.402386,CC1(C)Oc2ccc(C[C@H](NC(=O)c3cc4ccccc4[nH]3)C(=O)N3CCN(CC(N)=O)CC3)cc2O1,CA122_AA0_AA29
-11.413873,CC(=O)N1CCC(C(=O)N[C@@H](Cc2cn(C(c3ccccc3)(c3ccccc3)c3ccccc3)cn2)C(=O)N[C@@H](CC(=O)OC(C)(C)C)C(N)=O)CC1,CA1_AA57_AA52
-11.128114,NC(=O)[C@@H](CC1CCCCC1)NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cccc(O)c1,CA117_AA59_AA28
-13.005314,NC(=O)C1(NC(=O)[C@H](Cc2c[nH]c3ccc(O)cc23)NC(=O)Cc2ccccc2)CC1,CA108_AA23_AA40
-12.385761,CC(C)C[C@H](NC(=O)c1ccc[nH]1)C(=O)N[C@@H](Cc1ccc(O)c(Cl)c1)C(N)=O,CA128_AA53_AA21
-12.531631,NC(=O)[C@@H]1CC2(CC2)CN1C(=O)C[C@H](Cc1ccc(F)c(F)c1)NC(=O)c1cc2ccccc2[nH]1,CA122_AA10_AA32
-10.490533,NC(=O)COC[C@H]1CCCN1C(=O)[C@H](Cc1ccc(Cl)c(F)c1)NC(=O)c1cc2ccccc2[nH]1,CA122_AA7_AA19
-12.604964,NC(=O)[C@@H]1CC(F)(F)CN1C(=O)[C@H]1CC[C@H](CNC(=O)Cc2ccc3ccccc3c2)CC1,CA115_AA17_AA37
-11.913706,NC(=O)C[C@H](Cc1ccc(F)c(F)c1)NC(=O)[C@H](Cc1c[nH]c2ccc(O)cc12)NC(=O)c1ccc[nH]1,CA128_AA23_AA10
-11.283103,NC(=O)C1(NC(=O)[C@H](Cc2ccccc2)NC(=O)CCc2ccc(Br)cc2)CCC1,CA32_AA59_AA4
-13.637958,NC(=O)c1ccc(NC(=O)[C@H](Cc2cn(C(c3ccccc3)(c3ccccc3)c3ccccc3)cn2)NC(=O)c2cccc(O)c2)cc1,CA117_AA57_AA36
-13.962439,CCCC(=O)NCC(=O)Nc1cc2ccccc2cc1C(N)=O,CA54_AA22_AA12
-16.670149,CC(C)(C)OC(=O)n1cc(C[C@H](NC(=O)[C@@H]2CSCN2C(=O)c2cccc(O)c2)C(N)=O)c2ccccc21,CA117_AA24_AA61
